,compound,neutral,negative,positive
0,0.9468,0.711,0.099,0.19
1,0.9679,0.847,0.07,0.083
2,-0.1765,0.777,0.119,0.104
3,-0.9737,0.793,0.145,0.062
4,0.9385,0.837,0.079,0.084
5,-0.886,0.803,0.144,0.053
6,-0.9981,0.792,0.153,0.055
7,0.9405,0.838,0.078,0.084
8,0.9988,0.689,0.126,0.185
9,-0.9979,0.751,0.151,0.098
10,-0.752,0.89,0.059,0.051
11,-0.9979,0.751,0.151,0.098
12,-0.1531,0.814,0.102,0.084
13,0.9874,0.802,0.089,0.109
14,0.9824,0.815,0.05,0.134
15,0.8776,0.807,0.076,0.118
16,-0.7603,0.806,0.124,0.069
17,-0.8666,0.807,0.138,0.055
18,0.9761,0.757,0.072,0.171
19,-0.8109,0.796,0.127,0.077
20,-0.9979,0.755,0.149,0.096
21,0.1779,0.809,0.096,0.094
22,0.1342,0.805,0.098,0.097
23,0.1342,0.806,0.098,0.096
24,-0.7351,0.89,0.073,0.037
25,-0.9996,0.745,0.161,0.094
26,-0.3612,0.854,0.086,0.06
27,0.347,0.848,0.077,0.075
28,-0.9961,0.744,0.15,0.106
29,0.631,0.88,0.056,0.064
30,0.2883,0.807,0.096,0.097
31,-0.9951,0.758,0.141,0.102
32,-0.9937,0.815,0.122,0.064
33,-0.3887,0.798,0.114,0.088
34,-0.3954,0.826,0.098,0.077
35,-0.9105,0.774,0.128,0.098
36,0.6739,0.868,0.067,0.066
37,-0.9702,0.757,0.135,0.108
38,-0.9784,0.75,0.139,0.111
39,0.6705,0.734,0.122,0.143
40,-0.5801,0.798,0.109,0.092
41,0.9465,0.701,0.111,0.188
42,1.0,0.702,0.109,0.189
43,0.785,0.844,0.07,0.086
44,0.673,0.774,0.112,0.114
45,-0.762,0.801,0.111,0.089
46,-0.996,0.798,0.123,0.079
47,-0.2163,0.808,0.099,0.093
48,-0.9964,0.792,0.126,0.082
49,0.9856,0.711,0.082,0.207
50,-0.9965,0.795,0.124,0.081
51,0.2672,0.718,0.147,0.135
52,-0.9966,0.802,0.12,0.078
53,-0.9951,0.765,0.125,0.111
54,0.7003,0.743,0.119,0.138
55,-0.9963,0.803,0.117,0.079
56,0.9701,0.719,0.09,0.191
57,-0.7692,0.724,0.139,0.137
58,0.4648,0.869,0.062,0.069
59,0.8513,0.791,0.091,0.118
60,-0.8793,0.74,0.15,0.11
61,-0.9973,0.807,0.133,0.06
62,0.9495,0.745,0.094,0.161
63,0.9926,0.769,0.092,0.139
64,-0.1101,0.835,0.088,0.077
65,0.8981,0.857,0.06,0.083
66,0.9218,0.859,0.058,0.083
67,-0.9962,0.748,0.148,0.104
68,-0.7456,0.816,0.113,0.07
69,0.9971,0.807,0.084,0.109
70,0.9967,0.803,0.087,0.109
71,-0.3018,0.85,0.079,0.07
72,-0.3107,0.783,0.115,0.102
73,0.9969,0.802,0.087,0.11
74,-0.34,0.856,0.085,0.059
75,0.9905,0.818,0.079,0.104
76,0.9708,0.851,0.066,0.084
77,0.9679,0.85,0.066,0.084
78,-0.9928,0.725,0.186,0.089
79,-0.9827,0.758,0.135,0.107
80,0.9958,0.806,0.082,0.112
81,0.2023,0.796,0.105,0.098
82,-0.9814,0.761,0.132,0.106
83,-0.9524,0.768,0.141,0.091
84,-0.9914,0.774,0.173,0.053
85,0.9993,0.786,0.09,0.123
86,-0.9965,0.676,0.201,0.122
87,-0.5204,0.825,0.107,0.068
88,-0.9967,0.684,0.198,0.118
89,0.2982,0.839,0.084,0.076
90,0.34,0.848,0.078,0.075
91,-0.0258,0.845,0.079,0.076
92,0.9737,0.833,0.072,0.095
93,0.7574,0.855,0.067,0.078
94,0.0757,0.841,0.078,0.081
95,0.9493,0.85,0.047,0.103
96,0.9908,0.827,0.068,0.105
97,1.0,0.772,0.064,0.165
98,0.9887,0.833,0.066,0.1
99,0.9868,0.789,0.061,0.15
100,-0.5859,0.778,0.144,0.077
101,0.9874,0.797,0.058,0.146
102,-0.743,0.793,0.128,0.079
103,0.9903,0.817,0.075,0.108
104,0.8294,0.848,0.069,0.083
105,-0.0772,0.803,0.107,0.09
106,-0.9955,0.728,0.176,0.096
107,-0.9586,0.855,0.105,0.04
108,-0.9953,0.735,0.169,0.097
109,0.9902,0.818,0.076,0.107
110,-0.978,0.869,0.078,0.053
111,0.9906,0.818,0.075,0.107
112,0.9906,0.819,0.074,0.106
113,-0.9992,0.746,0.155,0.099
114,0.4606,0.856,0.066,0.078
115,0.5661,0.862,0.061,0.078
116,-0.9952,0.719,0.183,0.098
117,0.5661,0.863,0.06,0.077
118,-0.9978,0.758,0.147,0.095
119,0.9496,0.86,0.053,0.086
120,-0.8843,0.829,0.105,0.065
121,-0.9937,0.81,0.115,0.075
122,0.8138,0.705,0.13,0.165
123,-0.7604,0.866,0.084,0.051
124,-0.9894,0.791,0.129,0.079
125,-0.9979,0.818,0.126,0.056
126,0.4087,0.792,0.102,0.106
127,-0.5854,0.836,0.085,0.079
128,-0.5859,0.859,0.092,0.049
129,-0.3612,0.862,0.082,0.057
130,-0.6636,0.793,0.106,0.101
131,-0.9979,0.819,0.125,0.056
132,-0.998,0.821,0.124,0.055
133,-0.5854,0.841,0.082,0.077
134,-0.6999,0.742,0.127,0.131
135,0.4098,0.812,0.093,0.095
136,-0.998,0.826,0.12,0.054
137,-0.5859,0.826,0.113,0.061
138,-0.4491,0.845,0.079,0.076
139,0.4633,0.744,0.125,0.13
140,-0.8807,0.792,0.146,0.062
141,0.6386,0.793,0.104,0.103
142,0.6027,0.746,0.124,0.13
143,0.9982,0.749,0.106,0.145
144,0.7906,0.772,0.098,0.131
145,0.3417,0.736,0.13,0.133
146,0.5764,0.764,0.116,0.119
147,0.9982,0.752,0.105,0.143
148,0.9515,0.824,0.084,0.092
149,-0.9952,0.774,0.148,0.077
150,-0.9518,0.876,0.082,0.042
151,-0.166,0.762,0.122,0.116
152,0.9919,0.798,0.059,0.143
153,-0.0516,0.83,0.092,0.078
154,-0.0516,0.835,0.089,0.076
155,-0.9585,0.873,0.085,0.042
156,0.9849,0.833,0.072,0.095
157,-0.9675,0.861,0.092,0.048
158,0.9927,0.797,0.084,0.119
159,-0.9675,0.868,0.087,0.045
160,0.9981,0.75,0.106,0.144
161,0.9943,0.823,0.065,0.112
162,-0.8964,0.905,0.064,0.031
163,0.4087,0.793,0.101,0.106
164,0.9927,0.815,0.075,0.111
165,-0.9993,0.762,0.14,0.098
166,-0.9929,0.753,0.147,0.1
167,-0.628,0.855,0.085,0.06
168,-0.5859,0.78,0.143,0.077
169,0.9127,0.862,0.054,0.083
170,-0.9979,0.783,0.148,0.07
171,-0.7184,0.797,0.139,0.065
172,-0.7964,0.837,0.108,0.055
173,-0.5719,0.822,0.111,0.067
174,-0.9996,0.751,0.177,0.073
175,-0.9979,0.669,0.209,0.122
176,-0.9967,0.8,0.113,0.087
177,-0.9967,0.802,0.112,0.087
178,-0.9969,0.802,0.112,0.086
179,-0.9832,0.825,0.1,0.076
180,-0.9953,0.818,0.122,0.06
181,-0.9979,0.673,0.206,0.12
182,0.9571,0.809,0.073,0.118
183,0.965,0.793,0.083,0.125
184,0.9968,0.834,0.07,0.096
185,-0.912,0.81,0.139,0.051
186,0.9792,0.768,0.066,0.166
187,0.9772,0.847,0.06,0.093
188,0.9935,0.793,0.047,0.16
189,-0.9849,0.804,0.106,0.09
190,0.9193,0.807,0.09,0.104
191,0.9273,0.839,0.061,0.1
192,0.8567,0.799,0.086,0.115
193,-0.9895,0.802,0.106,0.092
194,0.8271,0.755,0.106,0.139
195,0.976,0.729,0.083,0.188
196,0.8658,0.848,0.064,0.087
197,0.9495,0.764,0.087,0.149
198,-0.9867,0.8,0.107,0.093
199,-0.9416,0.834,0.12,0.046
200,-0.932,0.836,0.088,0.076
201,-0.89,0.859,0.097,0.043
202,-0.9944,0.756,0.146,0.098
203,-0.574,0.886,0.061,0.053
204,-0.9618,0.826,0.095,0.079
205,-0.5574,0.771,0.134,0.095
206,-0.9899,0.775,0.126,0.1
207,-0.9775,0.829,0.096,0.074
208,-0.9979,0.779,0.148,0.073
209,-0.9977,0.787,0.142,0.071
210,-0.8008,0.814,0.106,0.08
211,-0.9419,0.84,0.086,0.074
212,-0.9957,0.77,0.128,0.102
213,-0.9963,0.743,0.182,0.075
214,1.0,0.701,0.109,0.19
215,-0.995,0.769,0.127,0.104
216,0.7698,0.831,0.084,0.085
217,0.9407,0.818,0.067,0.115
218,0.2292,0.77,0.116,0.113
219,0.7472,0.838,0.081,0.081
220,0.263,0.77,0.112,0.118
221,0.6727,0.821,0.092,0.087
222,0.3954,0.821,0.084,0.095
223,-0.3612,0.825,0.103,0.072
224,0.7068,0.851,0.077,0.072
225,-0.9981,0.812,0.115,0.073
226,0.8154,0.845,0.078,0.077
227,-0.9996,0.697,0.191,0.112
228,-0.1445,0.821,0.096,0.084
229,-0.8555,0.853,0.099,0.048
230,0.4939,0.875,0.063,0.062
231,0.9124,0.792,0.078,0.13
232,-0.9654,0.79,0.125,0.085
233,-0.9953,0.731,0.148,0.12
234,0.6908,0.877,0.06,0.063
235,0.347,0.903,0.049,0.048
236,0.9949,0.764,0.069,0.167
237,0.991,0.783,0.1,0.117
238,-0.9828,0.818,0.104,0.078
239,-0.9896,0.848,0.098,0.055
240,0.9992,0.858,0.043,0.099
241,-0.6398,0.769,0.137,0.094
242,-0.9876,0.779,0.133,0.088
243,-0.9987,0.757,0.164,0.079
244,0.966,0.717,0.093,0.19
245,0.9737,0.723,0.087,0.19
246,0.9853,0.714,0.071,0.215
247,0.9856,0.726,0.073,0.202
248,0.9907,0.731,0.06,0.209
249,-0.5702,0.848,0.09,0.062
250,-0.2933,0.86,0.077,0.062
251,-0.9993,0.801,0.121,0.078
252,-0.6184,0.861,0.083,0.057
253,-0.9963,0.802,0.119,0.079
254,-0.9985,0.76,0.159,0.081
255,-0.9981,0.812,0.115,0.073
256,-0.9983,0.768,0.151,0.081
257,-0.9988,0.803,0.123,0.074
258,0.9962,0.881,0.033,0.085
259,-0.9914,0.838,0.102,0.059
260,0.9985,0.726,0.065,0.209
261,-0.9979,0.789,0.126,0.086
262,-0.9983,0.788,0.127,0.085
263,-0.8326,0.821,0.091,0.088
264,-0.6903,0.783,0.109,0.108
265,0.9975,0.848,0.057,0.096
266,0.997,0.84,0.064,0.097
267,0.9868,0.845,0.057,0.097
268,0.9983,0.812,0.077,0.111
269,0.9796,0.803,0.092,0.105
270,-0.723,0.832,0.091,0.077
271,0.9981,0.82,0.075,0.105
272,-0.9354,0.827,0.093,0.079
273,-0.871,0.829,0.09,0.082
274,0.9187,0.837,0.076,0.086
275,0.998,0.819,0.076,0.105
276,0.6595,0.761,0.116,0.123
277,0.4429,0.786,0.103,0.111
278,0.3639,0.787,0.103,0.11
279,0.9994,0.783,0.086,0.131
280,0.9971,0.802,0.078,0.12
281,0.9971,0.803,0.077,0.12
282,-0.5859,0.81,0.124,0.066
283,-0.2103,0.77,0.12,0.11
284,-0.8271,0.771,0.161,0.068
285,-0.9008,0.797,0.141,0.062
286,-0.4404,0.82,0.101,0.08
287,-0.6972,0.803,0.116,0.081
288,-0.68,0.811,0.104,0.085
289,0.8624,0.784,0.108,0.109
290,-0.5859,0.792,0.135,0.072
291,-0.8989,0.72,0.196,0.084
292,-0.2441,0.751,0.126,0.123
293,0.3751,0.798,0.097,0.105
294,-0.6699,0.763,0.145,0.093
295,0.3182,0.752,0.13,0.118
296,-0.1779,0.876,0.069,0.056
297,0.8455,0.74,0.114,0.145
298,0.9964,0.795,0.061,0.144
299,0.9863,0.833,0.051,0.116
300,0.1613,0.854,0.07,0.075
301,-0.7783,0.872,0.128,0.0
302,-0.4588,0.861,0.09,0.049
303,-0.8679,0.836,0.129,0.035
304,-0.7783,0.885,0.115,0.0
305,-0.6486,0.837,0.127,0.036
306,-0.7579,0.82,0.157,0.023
307,-0.0772,0.824,0.09,0.086
308,-0.5972,0.817,0.124,0.059
309,-0.5093,0.809,0.125,0.066
310,-0.6486,0.868,0.103,0.029
311,0.3076,0.831,0.079,0.09
312,-0.7783,0.816,0.184,0.0
313,-0.6705,0.827,0.137,0.036
314,-0.9159,0.905,0.084,0.011
315,0.8316,0.837,0.054,0.108
316,0.9565,0.834,0.058,0.108
317,0.5423,0.749,0.11,0.141
318,0.9869,0.805,0.057,0.138
319,0.9361,0.879,0.048,0.073
320,-0.647,0.87,0.088,0.043
321,-0.3751,0.884,0.073,0.043
322,0.8962,0.763,0.097,0.14
323,-0.4451,0.877,0.066,0.058
324,-0.4528,0.888,0.072,0.04
325,-0.1759,0.774,0.133,0.093
326,-0.8299,0.866,0.134,0.0
327,0.9924,0.891,0.027,0.083
328,-0.6486,0.856,0.112,0.032
329,0.6834,0.874,0.054,0.072
330,-0.5267,0.817,0.122,0.061
331,-0.9607,0.681,0.241,0.078
332,-0.8299,0.902,0.098,0.0
333,-0.5799,0.856,0.084,0.059
334,-0.5362,0.837,0.108,0.055
335,-0.4333,0.866,0.082,0.052
336,-0.6972,0.845,0.103,0.053
337,-0.7269,0.823,0.122,0.055
338,-0.6705,0.848,0.12,0.031
339,-0.7783,0.872,0.128,0.0
340,-0.8577,0.858,0.104,0.038
341,-0.755,0.864,0.085,0.051
342,0.872,0.787,0.074,0.139
343,0.7177,0.819,0.071,0.111
344,0.3814,0.826,0.083,0.091
345,-0.6705,0.829,0.135,0.035
346,-0.8939,0.856,0.1,0.044
347,-0.6705,0.856,0.114,0.03
348,-0.6705,0.846,0.122,0.032
349,-0.7419,0.851,0.087,0.063
350,-0.3182,0.769,0.133,0.098
351,0.3254,0.831,0.08,0.089
352,-0.6705,0.877,0.098,0.026
353,0.5225,0.862,0.058,0.08
354,0.4279,0.864,0.058,0.078
355,-0.4215,0.817,0.12,0.062
356,-0.7783,0.866,0.134,0.0
357,-0.8095,0.882,0.118,0.0
358,-0.3485,0.861,0.08,0.059
359,0.9549,0.813,0.059,0.128
360,0.9623,0.821,0.052,0.127
361,-0.824,0.836,0.121,0.043
362,-0.25,0.91,0.051,0.039
363,-0.7998,0.821,0.179,0.0
364,-0.6322,0.843,0.107,0.05
365,-0.9076,0.87,0.092,0.038
366,-0.8779,0.826,0.105,0.069
367,-0.9274,0.789,0.211,0.0
368,-0.6705,0.886,0.091,0.024
369,-0.8074,0.789,0.176,0.035
370,-0.6486,0.819,0.141,0.04
371,-0.8946,0.895,0.071,0.034
372,-0.5499,0.849,0.11,0.041
373,-0.8591,0.855,0.108,0.037
374,-0.4588,0.843,0.102,0.055
375,-0.6369,0.861,0.098,0.04
376,-0.7506,0.776,0.149,0.074
377,-0.6767,0.875,0.09,0.035
378,0.2824,0.89,0.049,0.061
379,-0.7669,0.825,0.131,0.044
380,-0.4836,0.875,0.069,0.057
381,0.9696,0.854,0.035,0.111
382,0.9907,0.755,0.066,0.179
383,-0.7269,0.876,0.103,0.021
384,0.2263,0.859,0.078,0.063
385,-0.7998,0.857,0.143,0.0
386,-0.2975,0.835,0.094,0.071
387,0.5095,0.85,0.06,0.09
388,0.8235,0.863,0.05,0.087
389,0.9992,0.778,0.041,0.182
390,0.9983,0.764,0.044,0.192
391,-0.8271,0.86,0.14,0.0
392,0.4858,0.867,0.061,0.072
393,0.9961,0.75,0.078,0.171
394,-0.5562,0.823,0.119,0.059
395,0.9961,0.749,0.078,0.173
396,-0.7783,0.816,0.184,0.0
397,0.0,0.83,0.09,0.08
398,-0.9094,0.893,0.068,0.039
399,0.9575,0.817,0.068,0.115
400,0.9907,0.826,0.032,0.142
401,0.5499,0.865,0.062,0.073
402,-0.6868,0.848,0.102,0.05
403,-0.128,0.888,0.061,0.051
404,-0.7783,0.842,0.158,0.0
405,-0.3182,0.894,0.057,0.049
406,0.9976,0.782,0.082,0.136
407,-0.5106,0.834,0.11,0.056
408,-0.8271,0.834,0.128,0.038
409,0.9988,0.705,0.117,0.178
410,0.659,0.813,0.079,0.108
411,-0.1154,0.897,0.056,0.047
412,-0.7184,0.812,0.135,0.053
413,-0.7525,0.844,0.113,0.042
414,-0.5726,0.859,0.079,0.061
415,-0.7783,0.848,0.152,0.0
416,-0.7783,0.903,0.097,0.0
417,0.6597,0.763,0.095,0.142
418,-0.6705,0.842,0.126,0.033
419,-0.5574,0.803,0.144,0.052
420,0.9561,0.852,0.048,0.1
421,0.0093,0.83,0.082,0.089
422,-0.1531,0.832,0.087,0.081
423,0.3164,0.816,0.086,0.098
424,0.3164,0.816,0.086,0.098
425,0.2481,0.81,0.097,0.093
426,0.9987,0.821,0.039,0.14
427,-0.7783,0.83,0.17,0.0
428,-0.8205,0.853,0.109,0.038
